symbol,videoUrl
PLU,https://www.youtube.com/watch?v=WDELUU9nSDg
1ST,https://www.youtube.com/watch?v=9oFZNaI07wc
GNTW,
GNTM,
GNT,https://youtu.be/_Q888b0VRx8
VSL,ran through all platforms - no videos found 
ARC,https://youtu.be/YrZQF4aIXqQ
HKG,
ICN,ran through all platforms - no videos found 
REP,https://youtu.be/dweuE2DC4DI
SNGLS,https://www.facebook.com/SingularDTV/videos/1514745611972874/
XAUR,https://www.youtube.com/watch?v=Y9ssUjwEzP0&feature=youtu.be
MKR,
DGD,https://www.youtube.com/watch?v=KeDOUzTlgto
EPOSY,
EPOSN,
P+,
NXC,https://www.youtube.com/watch?v=8YM1VktBo7w&feature=youtu.be
DCN,https://youtu.be/aJc9cIYFbH0
SWT,https://youtu.be/t0yKy77wqmM
EMV,https://youtu.be/NJ7PO3UAx1Ab
TIME,https://youtu.be/Xp3u6G1VIjY
MLN,https://youtu.be/Xz_nOzWL46c
RHOC,https://youtu.be/Qftq9S34xgg
EDG,https://www.facebook.com/EdgelessCasino/videos/261710514322434/
GUP,
RLC,https://youtu.be/07ojusto6s4
TRST,https://youtu.be/tXqy2-2l8Xg
DICE,ran through all platforms - no videos found 
TAAS,https://youtu.be/RdgjYzbwo5I
GNO,5:12 minutes intro 
WINGS,https://youtu.be/9wvov6zXi54
LUN,https://youtu.be/ZMprPsPx2-c
TKN,ran through all platforms - no videos found 
HMQ,https://youtu.be/prEPErb82Mg
ANT,ran through all platforms - no videos found 
SGT,
BCAP,ran through all platforms - no videos found 
BAT,https://vimeo.com/209336437
MYST,https://vimeo.com/215967001
VSMOLD,
CFI,https://youtu.be/-xBFbkIKtuM
VERI,https://youtu.be/wLQFodlx7RU
MGO,https://youtu.be/K0KaqCduaMM
PTOY,https://youtu.be/pb-HpmYbSbE
BNT,https://youtu.be/nugdYUfo0CI
QRL,ran through all platforms - no videos found 
GOOD,ran through all platforms - no videos found 
SNT,https://youtu.be/Je7yErjEVt4
SONM,
NMR,https://vimeo.com/205032211
MCAP,https://youtu.be/6FqDJZrSuUE
PAY,https://youtu.be/9xLVXhgZjL4
ICE,ran through all platforms - no videos found 
PPT,ran through all platforms - no videos found 
FUN,https://youtu.be/Gb3RrTy40yI
